rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
8,8,-1,OLD,20231010,에어,2023-04-05,40220347,0.8,16911254,72.6,957986575,3783,1499,65.6,98509,259,340,20230415
9,9,0,NEW,20227890,슈퍼 마리오 브라더스,2023-04-26,35220000,0.7,35220000,100,50588620,3522,3522,100,4982,18,18,20230415
10,10,17,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,31314600,0.6,30120500,2522.4,582089800,3175,3024,2002.6,64901,98,138,20230415
1,1,0,OLD,20231089,존 윅 4,2023-04-12,1127109914,52.7,356202995,46.2,3501904344,105878,30489,40.4,333551,1391,4259,20230414
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,348719790,16.3,137914682,65.4,46177427375,33816,12754,60.6,4482052,783,2440,20230414
3,3,24,OLD,20200154,킬링 로맨스,2023-04-14,198759993,9.3,196159993,7544.6,234533993,21108,20908,10454,24795,970,3596,20230414
4,4,-1,OLD,20226489,리바운드,2023-04-05,202029156,9.4,62170756,44.5,3674256164,20605,5765,38.8,385752,658,1723,20230414
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,75898106,3.5,21509116,39.5,46522849271,5555,1340,31.8,4469649,264,394,20230414
6,6,0,OLD,20231009,거울 속 외딴 성,2023-04-12,30974802,1.4,3702289,13.6,121668860,2984,269,9.9,12363,310,457,20230414
7,7,0,OLD,20231010,에어,2023-04-05,23309093,1.1,941554,4.2,917766228,2284,28,1.2,94726,292,390,20230414
8,8,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,23147022,1.1,7906309,51.9,2807856634,2201,676,44.3,281999,197,295,20230414
9,9,4,OLD,20179462,위대한 쇼맨,2017-12-20,12562661,0.6,4037533,47.4,13492459493,1187,375,46.2,1717324,43,56,20230414
10,10,-1,OLD,20227684,멍뭉이,2023-03-01,6392000,0.3,-1695500,-21,1774896586,735,-360,-32.9,189429,15,15,20230414
1,1,0,OLD,20231089,존 윅 4,2023-04-12,770906919,54.8,-373455087,-32.6,2374794430,75389,-37754,-33.4,227673,1532,4607,20230413
2,2,0,OLD,20226270,스즈메의 문단속,2023-03-08,210805108,15.0,-44854474,-17.5,45828707585,21062,-4919,-18.9,4448236,927,2991,20230413
3,3,0,OLD,20226489,리바운드,2023-04-05,139858400,9.9,-17633695,-11.2,3472227008,14840,-1989,-11.8,365147,761,2282,20230413
4,4,13,OLD,20231244,렌필드,2023-04-19,41179000,2.9,36733000,826.2,45625000,4505,4011,811.9,4999,25,25,20230413
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,54388990,3.9,2046182,3.9,46446951165,4215,-53,-1.2,4464094,273,452,20230413
6,6,-2,OLD,20231009,거울 속 외딴 성,2023-04-12,27272513,1.9,-21450032,-44,90694058,2715,-2352,-46.4,9379,314,497,20230413
7,7,-1,OLD,20231010,에어,2023-04-05,22367539,1.6,-3969879,-15.1,894457135,2256,-506,-18.3,92442,343,538,20230413
8,8,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,15240713,1.1,-3391065,-18.2,2784709612,1525,-370,-19.5,279798,239,391,20230413
9,9,2,OLD,20227684,멍뭉이,2023-03-01,8087500,0.6,1937500,31.5,1768504586,1095,354,47.8,188694,22,22,20230413
10,10,0,NEW,20227863,라이스보이 슬립스,2023-04-19,9324000,0.7,9324000,100,50198260,1036,1036,100,5363,7,7,20230413
1,1,0,NEW,20231089,존 윅 4,2023-04-12,1144362006,62.2,1144362006,100,1603887511,113143,113143,100,152284,1525,4665,20230412
2,2,-1,OLD,20226270,스즈메의 문단속,2023-03-08,255659582,13.9,-9831326,-3.7,45617902477,25981,-339,-1.3,4427174,922,3048,20230412
3,3,-1,OLD,20226489,리바운드,2023-04-05,157492095,8.6,-40352725,-20.4,3332368608,16829,-4441,-20.9,350307,750,2371,20230412
4,4,29,OLD,20231009,거울 속 외딴 성,2023-04-12,48722545,2.6,47722545,4772.3,63421545,5067,4967,4967,6664,324,539,20230412
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,52342808,2.8,-17653192,-25.2,46392562175,4268,456,12,4459879,272,444,20230412
6,6,-3,OLD,20231010,에어,2023-04-05,26337418,1.4,-20345798,-43.6,872089596,2762,-2078,-42.9,90186,351,547,20230412
7,7,-3,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,18631778,1.0,-24611755,-56.9,2769468899,1895,-2397,-55.8,278273,237,403,20230412
8,8,7,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,15723800,0.9,8849700,128.7,167116100,1505,909,152.5,14817,74,125,20230412
9,9,-3,OLD,20210544,웅남이,2023-03-22,8922800,0.5,-11954195,-57.3,2771876447,1022,-1500,-59.5,302639,132,182,20230412
10,10,-3,OLD,20179462,위대한 쇼맨,2017-12-20,9137828,0.5,-7998114,-46.7,13471371704,882,-742,-45.7,1715325,42,57,20230412
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,265490908,34.0,-45664276,-14.7,45362242895,26320,-4505,-14.6,4401193,1134,3963,20230411
2,2,0,OLD,20226489,리바운드,2023-04-05,197844820,25.3,-9654497,-4.7,3174876513,21270,-776,-3.5,333478,1031,3631,20230411
3,3,0,OLD,20231010,에어,2023-04-05,46683216,6.0,-1504384,-3.1,845752178,4840,-194,-3.9,87424,558,1470,20230411
4,4,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,43243533,5.5,191452,0.4,2750837121,4292,-21,-0.5,276378,516,1053,20230411
5,5,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,69996000,9.0,-9789500,-12.3,46340219367,3812,-537,-12.3,4455611,21,122,20230411
6,6,2,OLD,20210544,웅남이,2023-03-22,20876995,2.7,4278995,25.8,2762953647,2522,759,43.1,301617,314,476,20230411
7,7,0,OLD,20179462,위대한 쇼맨,2017-12-20,17135942,2.2,-5054722,-22.8,13462233876,1624,-581,-26.3,1714443,48,98,20230411
